name,'08/18/13 00:00','08/18/13 01:00','08/18/13 02:00','08/18/13 03:00','08/18/13 04:00','08/18/13 05:00','08/18/13 06:00','08/18/13 07:00','08/18/13 08:00','08/18/13 09:00','08/18/13 10:00','08/18/13 11:00','08/18/13 12:00','08/18/13 13:00','08/18/13 14:00','08/18/13 15:00','08/18/13 16:00','08/18/13 17:00','08/18/13 18:00','08/18/13 19:00','08/18/13 20:00','08/18/13 21:00','08/18/13 22:00','08/18/13 23:00','08/19/13 00:00','08/19/13 01:00','08/19/13 02:00','08/19/13 03:00','08/19/13 04:00','08/19/13 05:00','08/19/13 06:00','08/19/13 07:00','08/19/13 08:00','08/19/13 09:00','08/19/13 10:00','08/19/13 11:00','08/19/13 12:00','08/19/13 13:00','08/19/13 14:00','08/19/13 15:00','08/19/13 16:00','08/19/13 17:00','08/19/13 18:00','08/19/13 19:00','08/19/13 20:00','08/19/13 21:00','08/19/13 22:00','08/19/13 23:00'
ACTONSC_6_N001,34,32,31,30,31,33,34,36,35,37,40,42,46,48,48,49,50,48,48,46,45,42,38,36,35,33,32,30,30,32,32,33,33,36,39,43,48,48,48,50,53,49,46,47,48,43,39,36
ADCC_2_N001,33,32,30,30,30,32,33,35,34,35,37,38,41,41,43,44,46,43,43,41,40,38,35,35,34,32,32,30,30,32,32,32,33,35,35,36,38,36,40,40,42,42,43,41,41,39,35,35
AEC300_1_N001,33,32,30,30,30,33,33,35,34,35,37,38,40,40,42,44,45,42,42,41,39,37,34,35,34,32,32,30,30,32,32,32,33,35,34,35,37,36,39,39,41,41,42,41,40,38,35,35
AGNEW_1_N003,34,32,31,31,31,33,34,36,35,36,38,39,42,43,44,46,47,44,44,42,41,39,36,36,35,33,32,31,31,33,33,33,33,36,36,37,40,38,42,42,44,43,45,43,43,40,37,36
AIRPROD_1_N001,55,54,54,54,53,52,54,55,43,43,51,53,59,58,63,57,59,57,70,68,65,62,59,54,56,55,51,52,49,56,47,42,40,38,53,49,52,57,61,54,57,58,64,62,62,61,55,50
ALAMITOS_2_N001,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMITOS_2_N040,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT1G_7_B1,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT1G_7_N002,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT2G_7_B1,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT2G_7_N002,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT3G_7_B1,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT3G_7_N002,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT4G_7_B1,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT4G_7_N002,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT5G_7_B1,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,47,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT5G_7_N002,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,47,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT6G_7_B1,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALAMT6G_7_N002,34,33,31,31,31,33,34,37,38,41,48,51,47,50,50,52,54,50,49,48,46,43,39,36,35,33,33,31,31,32,33,33,34,40,49,46,50,51,53,62,70,59,49,50,49,44,40,36
ALHAMBRA_1_N001,33,32,30,30,31,33,34,36,35,36,38,39,42,42,44,46,47,45,44,42,41,39,35,35,34,33,32,31,31,32,33,33,33,36,36,37,40,38,42,42,44,44,45,43,43,40,36,35
ALHAMBRA_1_N002,33,32,30,30,31,33,34,36,35,36,38,39,42,42,44,46,47,45,44,42,41,39,35,35,34,33,32,31,31,32,33,33,33,36,36,37,40,38,42,42,44,44,45,43,43,40,36,35
ALLEGHNY_6_N001,33,32,30,30,31,33,34,36,33,34,34,35,36,37,39,40,42,40,39,38,36,34,33,35,34,33,32,30,31,32,32,33,33,36,31,33,35,32,36,36,38,38,39,37,37,37,33,35
ALMADEN_6_N001,34,33,31,31,31,34,34,36,35,37,39,40,43,44,45,47,48,46,46,44,42,40,36,36,35,33,33,31,31,33,33,33,34,36,37,38,40,39,43,43,45,45,46,44,44,41,38,36
ALPAUGH_1_N001,33,31,30,29,30,32,33,34,32,33,36,37,40,40,42,44,45,43,44,45,44,41,37,35,34,32,31,30,30,31,32,31,31,33,35,34,37,36,39,38,40,41,44,44,45,42,39,35
ALPINE_6_N001,34,33,31,31,34,33,34,36,36,38,42,45,48,52,51,54,56,51,50,49,47,43,39,37,35,33,33,31,31,33,33,33,34,38,42,45,51,52,54,61,68,59,50,51,50,45,41,37
ALPINE_6_N005,34,33,31,31,34,33,34,36,36,38,42,45,48,52,51,54,56,51,50,49,47,43,39,37,35,33,33,31,31,33,33,33,34,38,42,45,51,52,54,61,68,59,50,51,50,45,41,37
ALTA1G_7_B1,34,32,31,30,31,33,33,36,34,35,38,40,44,49,48,51,54,48,47,46,45,42,38,36,34,32,32,30,30,32,32,32,33,35,38,43,49,50,53,64,74,60,49,49,47,43,39,35
ALTA2G_7_B1,34,32,31,30,31,33,33,36,34,35,38,40,44,49,48,51,54,48,47,46,45,42,38,36,34,32,32,30,30,32,32,32,33,35,38,43,49,50,53,64,74,60,49,49,47,43,39,35
ALTA30ST_7_B1,33,32,30,30,30,32,33,35,34,34,37,39,43,47,46,49,52,46,45,45,44,41,37,35,34,32,32,30,30,31,32,32,32,35,37,42,47,49,51,62,71,58,47,47,45,42,39,35
ALTA31GT_7_B1,33,32,30,30,30,32,33,35,34,34,37,39,43,47,46,49,52,46,45,45,44,41,37,35,34,32,32,30,30,31,32,32,32,35,37,42,47,49,51,62,71,58,47,47,45,42,39,35
ALTA40ST_7_B1,33,32,30,30,30,32,33,35,34,34,37,39,43,47,46,49,52,46,45,45,44,41,37,35,34,32,32,30,30,31,32,32,32,35,37,42,47,49,51,62,71,58,47,47,45,42,39,35
ALTA41GT_7_B1,33,32,30,30,30,32,33,35,34,34,37,39,43,47,46,49,52,46,45,45,44,41,37,35,34,32,32,30,30,31,32,32,32,35,37,42,47,49,51,62,71,58,47,47,45,42,39,35
ALTMMDW_2_N001,33,32,30,30,30,32,33,35,34,35,37,38,40,41,42,44,45,43,43,41,39,38,34,35,34,32,32,30,30,32,32,32,33,35,35,36,38,36,40,40,42,42,43,41,41,39,35,35
ALTO_6_N001,33,32,30,30,30,33,34,36,35,37,39,40,42,43,45,46,48,45,45,43,41,39,35,35,34,33,32,30,31,32,32,33,34,36,36,37,40,38,42,42,44,44,45,44,43,41,37,35
ALTO_6_N101,33,32,30,30,30,33,34,36,35,37,39,40,42,43,45,46,48,45,45,43,41,39,35,35,34,33,32,30,31,32,32,33,34,36,36,37,40,38,42,42,44,44,45,44,43,41,37,35
ALTWIND_1_N001,33,32,30,30,30,32,33,35,34,36,38,40,45,49,47,49,50,48,47,45,44,41,37,35,33,32,31,30,30,31,31,32,32,35,37,42,49,49,48,49,49,50,47,48,47,42,38,35
AMD_1_N001,34,32,31,31,31,33,34,36,35,37,39,40,43,43,45,46,48,45,45,43,41,39,36,36,35,33,32,31,31,32,33,33,33,36,36,37,40,38,42,42,44,44,45,43,43,41,37,36
AMERIGAS_1_N001,33,31,30,30,30,32,33,35,34,35,37,38,41,41,43,44,45,43,43,41,39,38,35,35,34,32,32,30,30,32,32,32,33,35,35,36,38,36,40,40,42,42,43,41,41,39,35,35
AMESBS_1_N004,34,32,31,30,31,33,34,36,35,36,38,39,42,43,44,46,47,44,44,42,41,39,35,35,35,33,32,31,31,32,33,33,33,36,36,37,39,38,41,41,43,43,44,43,42,40,36,35
AMESBS_1_N101,34,32,31,30,31,33,34,36,35,36,38,39,42,43,44,46,47,44,44,42,41,39,35,35,35,33,32,31,31,32,33,33,33,36,36,37,39,38,41,41,43,43,44,43,42,40,36,35
AMESDST_1_N001,34,32,31,30,31,33,34,36,35,36,38,39,42,43,44,46,47,44,44,42,41,39,35,35,35,33,32,31,31,32,33,33,33,36,36,37,39,38,41,41,43,43,44,43,42,40,36,35
AMFORST_6_N001,34,32,31,31,31,33,34,35,32,34,33,33,34,35,37,40,41,38,37,35,33,32,28,35,35,33,32,31,31,32,32,33,33,35,27,31,33,29,34,34,36,36,37,35,33,33,27,35
ANAHEIMG_7_B1,34,33,31,31,31,33,34,36,34,35,36,37,47,50,50,52,55,50,26,47,46,42,39,36,35,33,32,31,31,32,32,33,34,34,32,43,50,51,53,63,72,60,49,50,49,44,40,36
ANDERSON_6_N001,33,32,30,30,30,32,33,35,34,35,37,38,40,41,43,44,45,43,43,41,40,38,34,35,34,32,32,30,30,32,32,32,33,35,35,36,38,36,40,40,42,42,43,41,41,39,35,35
ANGIOLA_6_N001,56,55,55,55,54,54,56,56,45,45,52,55,60,59,64,59,61,59,72,70,67,63,60,56,58,57,53,53,50,57,48,43,41,39,53,50,54,58,62,57,60,60,66,64,64,63,56,52
ANITA_6_N001,33,32,30,30,31,33,34,35,34,36,38,39,41,41,43,45,46,43,43,42,40,38,35,35,34,33,32,31,31,32,32,33,33,36,36,36,39,37,41,41,43,43,44,42,42,40,36,35
ANNAPOLS_6_N001,34,32,31,31,31,33,34,37,36,38,39,40,43,43,45,47,48,46,47,45,43,41,37,36,35,34,33,31,32,33,34,34,35,38,38,39,41,39,43,43,45,45,47,45,46,44,39,37
ANTELOPE_6_N001,32,31,29,29,29,32,32,35,36,38,41,43,47,46,48,49,50,48,48,46,45,42,39,34,33,31,31,29,30,31,32,32,33,36,40,40,42,40,45,43,45,45,47,46,47,43,41,35
ANTIOCH_6_N001,33,31,30,30,30,32,33,35,34,35,37,38,41,41,43,44,45,43,42,41,39,38,35,35,34,32,32,30,30,32,32,32,33,35,35,36,38,37,40,40,42,42,43,42,41,39,35,35
ANTLER_6_N001,34,32,31,30,31,33,34,36,35,36,38,39,42,42,44,46,47,45,45,43,41,39,35,36,35,33,33,31,31,33,33,34,34,37,37,38,40,39,43,42,44,44,45,44,43,41,37,36
APPLEHL_1_N001,34,32,31,31,31,33,34,36,34,35,35,36,38,38,41,43,44,42,41,40,38,36,33,36,35,33,33,31,31,33,33,33,34,36,32,34,36,34,38,38,40,40,42,39,39,38,33,36
APPLEHL_1_N002,34,32,31,31,31,33,34,36,34,35,35,36,38,38,41,43,44,42,41,40,38,36,33,36,35,33,33,31,31,33,33,33,34,36,32,34,36,34,38,38,40,40,42,39,39,38,33,36
APPLEHL_1_N004,34,32,31,31,31,33,34,36,34,35,35,36,38,38,41,43,44,42,41,40,38,36,33,36,35,33,33,31,31,33,33,33,34,36,32,34,36,34,38,38,40,40,42,39,39,38,33,36
